,Ozone_ppb,Month
1837,17.52730434782609,2015-01-12
1838,19.889100628930823,2015-01-13
1839,17.446546583850925,2015-01-14
1840,16.48834355828221,2015-01-15
1841,15.488709876543211,2015-01-16
1842,16.810512345679008,2015-01-17
1843,15.921709876543211,2015-01-18
1844,15.589660493827155,2015-01-19
1845,15.119506172839506,2015-01-20
1846,19.30484472049689,2015-01-21
1847,16.10806790123457,2015-01-22
1848,19.47547530864198,2015-01-23
1849,22.784919753086424,2015-01-24
1850,18.991475308641977,2015-01-25
1851,16.604006097560973,2015-01-26
1852,17.27465853658536,2015-01-27
1853,17.863938271604926,2015-01-28
1854,17.296726708074537,2015-01-29
1855,18.70878881987578,2015-01-30
1856,22.06660493827161,2015-01-31
1857,21.637670807453414,2015-02-01
1858,19.838791411042944,2015-02-02
1859,19.661815950920253,2015-02-03
1860,22.2797625,2015-02-04
1861,23.798361963190178,2015-02-05
1862,27.878713414634127,2015-02-06
1863,19.651878787878786,2015-02-07
1864,24.78167272727273,2015-02-08
1865,25.477599999999995,2015-02-09
1866,23.13835757575756,2015-02-10
1867,24.734630303030304,2015-02-11
1868,25.17380487804878,2015-02-12
1869,26.19668902439025,2015-02-13
1870,28.87029012345677,2015-02-14
1871,30.422588957055225,2015-02-15
1872,32.502987577639736,2015-02-16
1873,29.860852760736194,2015-02-17
1874,24.990537037037054,2015-02-18
1875,27.84101851851852,2015-02-19
1876,26.58751533742332,2015-02-20
1877,32.245417177914106,2015-02-21
1878,31.412276073619644,2015-02-22
1879,27.731092024539873,2015-02-23
1880,26.639785276073628,2015-02-24
1881,27.378765432098785,2015-02-25
1882,30.78055214723928,2015-02-26
1883,34.71840372670807,2015-02-27
1884,29.299641975308646,2015-02-28
1885,28.330481481481506,2015-03-01
1886,26.25733540372671,2015-03-02
1887,27.033185185185193,2015-03-03
1888,28.593759259259247,2015-03-04
1889,31.092481249999985,2015-03-05
1890,31.539981366459603,2015-03-06
1891,33.33512422360249,2015-03-07
1892,36.23387577639751,2015-03-08
1893,32.75655000000002,2015-03-09
1894,34.556893081761004,2015-03-10
1895,29.629621118012412,2015-03-11
1896,31.171294478527606,2015-03-12
1897,32.909151515151486,2015-03-13
1898,37.20651829268292,2015-03-14
1899,38.446392638036826,2015-03-15
1900,35.819889570552135,2015-03-16
1901,38.153201219512184,2015-03-17
1902,35.04163030303031,2015-03-18
1903,34.23853658536585,2015-03-19
1904,38.54709815950922,2015-03-20
1905,40.501074074074076,2015-03-21
1906,36.516322981366436,2015-03-22
1907,36.96355625,2015-03-23
